region,port_complex_group,port_complex,year,category,comm_name_orig,comm_name,sci_name,landings_n
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,19669
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,7491
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,3574
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,274
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,63995
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,47
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,178
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,8073
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,1
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,36
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,2
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,12
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,0
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,46808
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,9754
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,10140
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,7683
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,74609
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,395
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,591
Northern,Monterey,Monterey-Moss Landing-Santa Cruz,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,15673
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,19
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,7
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,17
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,1
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,0
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,74750
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,6991
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,20715
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,12879
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,123713
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,228
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,8
Northern,Morro Bay,Avila Beach-Morro Bay,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,11958
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,485
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,7326
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,1932
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,11528
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,106249
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,8
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,2351
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,34394
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,2192
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,409
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,64247
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,1934
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,321846
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,281
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,32
Southern,Santa Barbara,Port Hueneme-Oxnard-Ventura-Santa Barbara,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,25875
Southern,Los Angeles,Newport Beach,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,5759
Southern,Los Angeles,Newport Beach,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,1798
Southern,Los Angeles,Newport Beach,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,7912
Southern,Los Angeles,Newport Beach,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,7944
Southern,Los Angeles,Newport Beach,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,19000
Southern,Los Angeles,Newport Beach,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,Los Angeles,Newport Beach,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,0
Southern,Los Angeles,Newport Beach,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,79
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,51
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,19813
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,0
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,636
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,7
Southern,Los Angeles,Newport Beach,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,34677
Southern,Los Angeles,Newport Beach,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,12
Southern,Los Angeles,Newport Beach,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,15
Southern,Los Angeles,Newport Beach,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,187
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,2867
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,2363
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,1994
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,13756
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,6698
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,1
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,21
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,6
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,9788
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,1
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,440
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,11
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,32687
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,3
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,17
Southern,Los Angeles,Oceanside-Dana Harbor,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,144
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,3114
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,721
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,1173
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,4543
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,12816
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,1
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,9
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,968
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,13895
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,25
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,536
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,8
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,151479
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,1
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,5
Southern,Los Angeles,Redondo-Marina del Rey-Malibu,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,624
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,7736
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,11772
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,12244
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,23440
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,85193
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,91
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,709
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,581
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,44533
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,65
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,4822
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,119
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,148045
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,123
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,0
Southern,Los Angeles,Seal Beach-Long Beach-San Pedro,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,3861
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,2159
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,1718
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,6216
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,16412
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,3917
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,0
Southern,San Diego,San Diego-Mission Bay,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,226
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,134
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,3924
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,10
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,376
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,564
Southern,San Diego,San Diego-Mission Bay,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,58707
Southern,San Diego,San Diego-Mission Bay,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,21
Southern,San Diego,San Diego-Mission Bay,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,19
Southern,San Diego,San Diego-Mission Bay,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,1274
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,39
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Other species,"Seabass, white",White seabass,Atractoscion nobilis,0
